Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Total Sales,Rating
Regular,FDT55,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,4.3655155,13.6,156.7946,4
Regular,FDP08,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,11.2410046,20.5,192.2478,4
Regular,FDI07,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,3.3760862,12.35,196.9426,4
Regular,FDZ39,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,1.8024769,19.7,104.499,4
Regular,FDI09,Seafood,2010,OUT046,Tier 1,Small,Supermarket Type1,12.9337594,20.75,238.188,4
Regular,FDI58,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,7.0704474,7.64,93.412,4
Regular,FDX46,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,5.8116758,12.3,57.5562,4
Regular,FDL21,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.7146415,15.85,41.048,4
Regular,FDS22,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,2.3154399,16.85,43.9428,4
Regular,DRC01,Soft Drinks,2010,OUT046,Tier 1,Small,Supermarket Type1,1.9200003,5.92,47.7692,4
Regular,FDE23,Starchy Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0,17.6,46.006,4
Low Fat,FDN09,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0,14.15,244.1828,4
Low Fat,FDA15,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,1.6113019,9.3,248.8092,4
Low Fat,FDY36,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.9429612,12.3,71.338,4
Low Fat,FDH48,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,6.0603014,13.5,85.554,4
Low Fat,FDG50,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,1.5302764,7.405,89.9146,4
Low Fat,FDS14,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,5.0065211,7.285,157.4288,4
Low Fat,DRE27,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,13.2939639,11.85,98.0726,4
Low Fat,DRJ39,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,3.6399734,20.25,219.3482,4
Low Fat,FDF09,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,1.2173543,6.215,36.4848,4
Low Fat,FDJ08,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,11.089655,11.1,191.5846,4
Low Fat,FDS43,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,4.0597054,11.65,187.324,4
Low Fat,FDO44,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,8.7630566,12.6,110.0228,4
Low Fat,FDE21,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,2.299122,12.8,114.9492,4
Low Fat,FDT31,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,1.247354,19.75,187.5872,4
Low Fat,DRN47,Hard Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0,12.1,179.866,4
Low Fat,NCS05,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,2.1020616,11.5,130.7942,4
Low Fat,NCT41,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,5.610384,15.7,153.5024,4
Low Fat,NCF43,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,5.2051256,8.51,142.247,4
Low Fat,NCK18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0,9.6,164.2184,4
Low Fat,NCX18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.8811818,14.15,196.511,4
Low Fat,NCL06,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,7.2212787,14.65,260.9594,4
Low Fat,NCE30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0,16,210.4902,4
Low Fat,FDU39,Meat,2015,OUT045,Tier 2,Small,Supermarket Type1,3.6111038,18.85,58.1562,4
Low Fat,NCN55,Others,2015,OUT045,Tier 2,Small,Supermarket Type1,5.9611153,14.6,238.3538,4
Low Fat,FDH09,Seafood,2015,OUT045,Tier 2,Small,Supermarket Type1,5.6191301,12.6,53.2982,4
Low Fat,FDR33,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,2.6843265,7.31,109.757,4
Low Fat,FDD34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,1.5908485,7.945,161.421,4
Low Fat,FDL10,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,3.9572298,8.395,100.9042,4
Low Fat,FDA57,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,3.9723999,18.85,41.048,4
Low Fat,FDA45,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,15.5694794,21.25,177.637,4
Low Fat,DRF25,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,3.9004193,9,37.019,4
Low Fat,DRJ24,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,11.3559058,11.8,184.2924,4
Low Fat,DRN36,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,5.0279604,15.2,94.1752,4
Low Fat,FDY36,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.9463757,12.3,73.838,4
Low Fat,FDZ48,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,7.6389281,17.75,111.1544,4
Low Fat,FDW59,Breads,2020,OUT017,Tier 2,Small,Supermarket Type1,2.0833091,13.15,86.5566,4
Low Fat,FDU13,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,18.8619537,8.355,146.4418,4
Low Fat,FDX25,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,10.2633047,16.7,180.8292,4
Low Fat,FDY50,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,13.169655,5.8,89.4172,4
Low Fat,FDA50,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,8.7668236,16.25,94.941,4
Low Fat,FDS50,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,5.5746931,17,220.0114,4
Low Fat,DRI51,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,4.2480566,17.25,173.4764,4
Low Fat,FDR26,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,4.307908,20.7,177.8028,4
Low Fat,FDF17,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,4.2861968,5.19,196.811,4
Low Fat,FDD08,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,3.555434,8.3,37.4506,4
Low Fat,FDY07,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,12.2289654,11.8,46.3402,4
Low Fat,FDS07,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,10.0322104,12.35,113.7518,4
Low Fat,FDM44,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,3.1225303,12.5,102.899,4
Low Fat,DRN11,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,16.3902159,7.85,143.3444,4
Low Fat,DRJ11,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0,9.5,188.9872,4
Low Fat,DRJ35,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,4.6848053,10.1,60.6878,4
Low Fat,NCZ41,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,6.478563,19.85,123.7704,4
Low Fat,NCU30,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,3.5071955,5.11,163.221,4
Low Fat,NCF07,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,3.2203667,9,100.8016,4
Low Fat,NCQ06,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,4.20611,13,254.1014,4
Low Fat,NCO18,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,2.4790707,13.15,177.5686,4
Low Fat,NCQ18,Household,2020,OUT017,Tier 2,High,Supermarket Type1,13.5836828,15.75,100.37,4
Low Fat,NCF54,Household,2020,OUT017,Tier 2,High,Supermarket Type1,4.7645037,18,172.6422,4
Low Fat,NCL18,Household,2020,OUT017,Tier 2,High,Supermarket Type1,16.8531813,18.85,192.5136,4
Low Fat,NCZ06,Household,2020,OUT017,Tier 2,High,Supermarket Type1,9.4694278,19.6,254.9698,4
Low Fat,FDQ46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,10.4400238,7.51,113.5544,4
Low Fat,FDW33,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,9.9681254,9.395,106.428,4
Low Fat,FDR45,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,2.9107004,10.8,240.5222,4
Low Fat,FDW45,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,3.9231652,18,145.1418,4
Low Fat,DRJ49,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,1.4072399,6.865,127.3652,4
Low Fat,DRZ24,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,8.2250143,7.535,118.344,4
Low Fat,DRK01,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,6.1409711,7.63,94.6436,4
Low Fat,DRD49,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,16.8780385,9.895,236.8564,4
Low Fat,DRK49,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,3.6147029,14.15,39.3138,4
Low Fat,FDD11,Starchy Foods,2020,OUT017,Tier 2,High,Supermarket Type1,3.0789914,12.85,254.904,4
Regular,FDW60,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,1.7096552,5.44,178.137,4
Regular,FDB36,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,4.8625599,5.465,129.2626,4
Regular,FDI60,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,3.8398937,7.22,61.951,4
Regular,FDP12,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,4.5358609,9.8,36.1874,4
Regular,FDT47,Breads,2015,OUT045,Tier 2,High,Supermarket Type1,2.455854,5.26,95.6068,4
Regular,FDU47,Breads,2015,OUT045,Tier 2,High,Supermarket Type1,11.4085368,12.8,141.3838,4
Regular,FDP49,Breakfast,2015,OUT045,Tier 2,High,Supermarket Type1,6.9229076,9,55.9614,4
Regular,FDR01,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,5.3730029,5.405,199.0742,4
Regular,FDQ01,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,16.102755,19.7,254.1014,4
Regular,FDC51,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.9641375,10.895,124.173,4
Regular,FDK03,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,7.4070351,12.6,254.2356,4
Regular,FDF39,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,1.9550858,14.85,263.791,4
Regular,FDE40,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,9.9344826,15.6,63.6194,4
Regular,FDA27,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,3.0990354,20.35,256.3672,4
Regular,FDV44,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,3.9925235,8.365,189.2188,4
Regular,FDC33,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,6.9078149,8.96,197.7768,4
Regular,FDX07,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,2.2965292,19.2,181.695,4
Regular,FDS15,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,7.821891,9.195,107.6596,4
Regular,FDM15,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,5.7538034,11.8,149.8366,4
Regular,FDI09,Seafood,2015,OUT045,Tier 2,High,Supermarket Type1,0,20.75,239.988,4
Regular,FDJ10,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,12.9766301,5.095,141.6838,4
Regular,FDS09,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,8.125293,8.895,49.8008,4
Regular,FDY33,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,9.7398254,14.5,157.4262,4
Regular,FDR22,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,1.8600249,19.35,110.2544,4
Regular,FDT12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,4.9902382,6.215,225.8062,4
Regular,FDP12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,4.5522854,9.8,35.0874,4
Regular,FDQ48,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,3.4605882,14.3,95.9726,4
Regular,FDR24,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,6.3207198,17.35,89.383,4
Regular,FDX47,Breads,2020,OUT017,Tier 2,High,Supermarket Type1,3.4800079,6.55,157.5288,4
Regular,FDM25,Breakfast,2020,OUT017,Tier 2,High,Supermarket Type1,6.1008889,10.695,177.5712,4
Regular,FDS25,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,14.08005,6.885,111.4228,4
Regular,FDJ02,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,2.5309134,17.2,147.0418,4
Regular,FDZ02,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,3.8363204,6.905,98.1726,4
Regular,FDI27,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,0,8.71,43.5744,4
Regular,FDS02,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,14.6692433,10.195,194.5794,4
Regular,FDJ15,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,2.3454399,11.35,181.9608,4
Regular,FDA27,Dairy,2020,OUT017,Tier 2,High,Supermarket Type1,3.1102571,20.35,257.2672,4
Regular,FDT52,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,4.7697859,9.695,244.6144,4
Regular,FDS16,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,6.6551268,15.15,144.676,4
Regular,FDH17,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,1.6747538,16.2,98.6726,4
Regular,FDY04,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,4.2716709,17.7,163.221,4
Regular,FDS56,Fruits and Vegetables,2020,OUT017,Tier 2,High,Supermarket Type1,3.8976089,5.785,264.2252,4
Regular,FDD44,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,7.884393,8.05,257.0646,4
Regular,FDQ51,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0,16,48.1718,4
Regular,FDL03,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,2.7233781,19.25,197.511,4
Regular,FDG33,Seafood,2020,OUT017,Tier 2,Medium,Supermarket Type1,14.1033536,5.365,173.6764,4
Regular,FDE10,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,9.0456903,6.67,131.2626,4
Regular,FDS33,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,12.4126756,6.67,88.9514,4
Regular,FDJ34,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,9.4185483,11.8,126.2704,4
Regular,FDP45,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,3.079807,15.7,252.9724,4
Regular,FDM58,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,8.0141165,16.85,111.4544,4
Regular,FDN22,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,13.9087683,18.85,251.7724,4
Regular,DRC01,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,1.9308607,5.92,49.0692,4
Regular,DRZ11,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,11.3302223,8.85,125.1388,4
Regular,FDF11,Starchy Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,1.7730951,10.195,239.8538,4
Regular,FDE23,Starchy Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,5.3481818,17.6,47.806,4
low Fat,NCZ18,Household,2015,OUT045,Tier 2,Medium,Supermarket Type1,18.6445212,7.825,255.5698,4
Regular,FDI04,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,7.3060301,13.65,196.2426,4
Regular,FDR44,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,10.3129612,6.11,129.5968,4
Regular,FDF45,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,1.2229464,18.2,56.8904,4
Regular,FDO22,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,1.7895691,13.5,79.496,4
Low Fat,NCH18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,4.4652785,9.3,247.0802,4
Low Fat,FDG24,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,1.4628382,7.975,82.325,4
Low Fat,FDQ12,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,3.5404052,12.65,230.601,4
Low Fat,FDS47,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,12.8861359,16.75,86.2856,4
Low Fat,FDW13,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,9.7866209,8.5,51.1324,4
Low Fat,FDK02,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,11.2203445,12.5,121.144,4
Low Fat,FDJ04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,12.4428516,18,119.9124,4
Low Fat,FDQ16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,4.1730507,19.7,109.2912,4
Low Fat,FDX43,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,8.5258864,5.655,165.85,4
Low Fat,FDV32,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,8.8691614,7.785,61.851,4
Low Fat,FDK56,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0,9.695,185.1898,4
Low Fat,FDE44,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,17.1355643,14.65,47.6692,4
Low Fat,FDY55,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,8.1304829,16.75,258.4988,4
Low Fat,FDL44,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,1.2272797,18.25,160.2894,4
Low Fat,NCS29,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,6.953231,9,266.5884,4
Low Fat,NCX29,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,8.9135671,10,146.9102,4
Low Fat,NCO29,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,3.2250092,11.15,164.0526,4
Low Fat,NCO41,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,1.8845298,12.5,96.7384,4
Low Fat,NCY17,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,16.30653,18.2,43.3086,4
Low Fat,NCU30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,3.4868095,5.11,163.821,4
Low Fat,NCX42,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.5977465,6.36,163.3526,4
Low Fat,NCR06,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.676387,12.5,40.8112,4
Low Fat,NCQ18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,13.504726,15.75,98.57,4
Low Fat,NCK07,Others,2017,OUT035,Tier 2,Small,Supermarket Type1,4.8677482,10.65,166.1526,4
Low Fat,FDT58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,8.5938463,9,168.6816,4
Low Fat,FDE22,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,2.9567218,9.695,160.492,4
Low Fat,FDP46,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,7.4601506,15.35,90.983,4
Low Fat,DRJ01,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,11.5010655,6.135,161.5236,4
Regular,FDB36,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,4.8518008,5.465,132.9626,4
Regular,FDM24,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,7.9312367,6.135,151.7366,4
Regular,FDQ36,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,16.1516894,7.855,37.0848,4
Regular,FDB12,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,10.5287746,11.15,103.2648,4
Regular,FDV60,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,11.7339056,20.2,195.011,4
Regular,FDM25,Breakfast,2017,OUT035,Tier 2,Small,Supermarket Type1,6.0654268,10.695,174.7712,4
Regular,FDR01,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,5.3611144,5.405,197.7742,4
Regular,FDY01,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,17.0251293,11.8,116.4834,4
Regular,FDB38,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,2.7341529,19.5,158.292,4
Regular,FDS28,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,8.2386011,8.18,56.6588,4
Regular,FDT52,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,4.7420609,9.695,246.0144,4
Regular,FDL28,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,6.3162608,10,228.6668,4
Regular,FDP52,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0,18.7,229.201,4
Regular,FDH20,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,2.4944396,16.1,95.441,4
Regular,FDF56,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,11.9439636,16.7,182.1976,4
Regular,FDU03,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,9.1560606,18.7,182.3292,4
Regular,FDG33,Seafood,2017,OUT035,Tier 2,Small,Supermarket Type1,14.0213762,5.365,173.7764,4
Regular,FDP22,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,9.9113429,14.65,52.8666,4
Regular,DRA24,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,3.9920687,19.35,163.3868,4
Regular,FDE11,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0,17.7,183.5924,4
low Fat,NCE07,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,1.3127548,8.18,142.0154,4
Low Fat,FDH21,Seafood,2011,OUT010,Tier 3,Medium,Grocery Store,5.226427,10.395,158.4604,4
Low Fat,DRD37,Soft Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,2.316823,9.8,47.506,4
Low Fat,FDZ12,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,17.2365428,9.17,144.847,4
Low Fat,FDO24,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,29.4948897,11.1,159.0604,4
Low Fat,FDT36,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,18.6250852,12.3,37.2874,4
Low Fat,FDN01,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,12.1180705,8.895,177.037,4
Low Fat,FDO25,Canned,2011,OUT010,Tier 3,Medium,Grocery Store,21.332355,6.3,208.527,4
Low Fat,FDS13,Canned,2011,OUT010,Tier 3,Medium,Grocery Store,20.8397715,6.465,265.2884,4
Low Fat,FDK02,Canned,2011,OUT010,Tier 3,Medium,Grocery Store,18.7841082,12.5,119.244,4
Low Fat,FDD02,Canned,2011,OUT010,Tier 3,Medium,Grocery Store,8.4176826,16.6,118.0124,4
Low Fat,FDA49,Canned,2011,OUT010,Tier 3,Medium,Grocery Store,10.8665723,19.7,86.4198,4
Low Fat,DRD15,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,9.5064731,10.6,232.4642,4
Low Fat,FDS26,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,14.9753132,20.35,259.7594,4
Low Fat,FDE16,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,4.4093978,8.895,208.3954,4
Low Fat,NCV41,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,2.8519419,14.35,109.2228,4
Low Fat,NCA18,Household,2011,OUT010,Tier 3,Medium,Grocery Store,9.3862362,10.1,115.9492,4
Low Fat,NCD31,Household,2011,OUT010,Tier 3,Medium,Grocery Store,2.5834128,12.1,165.1526,4
Low Fat,NCH07,Household,2011,OUT010,Tier 3,Medium,Grocery Store,15.5105614,13.15,157.2604,4
Low Fat,NCI54,Household,2011,OUT010,Tier 3,Medium,Grocery Store,5.6237906,15.2,110.7912,4
Low Fat,FDA39,Meat,2011,OUT010,Tier 3,High,Grocery Store,2.1287234,6.32,38.5822,4
Low Fat,FDK22,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,4.3663452,9.8,217.185,4
Low Fat,FDZ33,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0,10.195,147.2076,4
Low Fat,FDZ10,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,7.4422769,17.85,128.002,4
Low Fat,FDM34,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,11.2893408,19,131.0626,4
Low Fat,FDS10,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,5.8893461,19.2,178.9318,4
Low Fat,DRF36,Soft Drinks,2011,OUT010,Tier 3,High,Grocery Store,3.9463564,16.1,189.9846,4
Regular,FDL13,Breakfast,2011,OUT010,Tier 3,High,Grocery Store,9.4265737,13.85,233.93,4
Regular,FDY02,Dairy,2011,OUT010,Tier 3,High,Grocery Store,14.6701312,8.945,262.291,4
Regular,FDH40,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,13.2111921,11.6,82.2276,4
Regular,FDW19,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,6.4441812,12.35,110.957,4
Regular,FDE33,Fruits and Vegetables,2011,OUT010,Tier 3,High,Grocery Store,8.3079826,19.35,80.3644,4
Regular,FDU15,Meat,2011,OUT010,Tier 3,High,Grocery Store,4.4526443,13.65,37.9532,4
Regular,FDR27,Meat,2011,OUT010,Tier 3,High,Grocery Store,16.0852421,15.1,131.3942,4
Regular,FDI21,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,9.4741514,5.59,63.1168,4
Regular,FDL58,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,12.4110349,5.78,262.3568,4
Regular,DRB13,Soft Drinks,2011,OUT010,Tier 3,Small,Grocery Store,1.179078,6.115,189.053,4
Regular,DRB48,Soft Drinks,2011,OUT010,Tier 3,Small,Grocery Store,4.1599644,16.75,40.9822,4
Regular,FDQ19,Fruits and Vegetables,2011,OUT010,Tier 3,Small,Grocery Store,2.4044279,7.35,241.0512,4
Low Fat,FDT48,Baking Goods,2000,OUT013,Tier 3,High,Supermarket Type1,4.5916788,4.92,198.8084,4
Low Fat,FDW25,Canned,2000,OUT013,Tier 3,High,Supermarket Type1,3.736783,5.175,86.9224,4
Low Fat,FDW01,Canned,2000,OUT013,Tier 3,High,Supermarket Type1,0,14.5,154.4682,4
Low Fat,FDD57,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,2.2380952,18.1,93.6094,4
Low Fat,FDD35,Starchy Foods,2000,OUT013,Tier 3,High,Supermarket Type1,2.5842905,12.15,119.844,4
Low Fat,FDB60,Baking Goods,2000,OUT013,Tier 3,High,Supermarket Type1,2.8498354,9.3,195.8136,4
Low Fat,FDR60,Baking Goods,2000,OUT013,Tier 3,High,Supermarket Type1,13.030659,14.3,75.7328,4
